PlaceID,Name,SimplifiedChineseName,TradionalChineseName,Province/City,Source,Longtitude,Latitude,Area,DistrictByArea,DongByArea,LongtitudeByArea,LatitudeByArea,중문원문,문제종류
622,왕십리,往十里,往十里,Seoul,2015 외래관광객실태조사,127.0252724,37.568832,왕십리,성동구,상왕십리동,127.0252724,37.568832,,
623,을지로,乙支路,乙支路,Seoul,2015 외래관광객실태조사,126.9954924,37.5660286,을지로,중구,을지로4가,126.9954924,37.5660286,,
624,청량리동,清凉里洞,清涼里洞,Seoul,2015 외래관광객실태조사,127.0452806,37.5888074,청량리동,동대문구,청량리동,127.0452806,37.5888074,,
625,동서울 터미널,东首尔客运站,東首爾客運站,Seoul,2015 외래관광객실태조사,127.0933675,37.5333713,동서울 터미널,광진구,구의동,127.0933675,37.5333713,,
626,테크노마트,科技商场,科技商場,Seoul,2015 외래관광객실태조사,127.095505,37.5355072,테크노마트,광진구,구의동,127.095505,37.5355072,,
627,경동시장,京东市场,京東市場,Seoul,2015 외래관광객실태조사,127.03854,37.57973,경동시장,동대문구,제기동,127.03854,37.57973,,
628,성수동,圣水洞,聖水洞,Seoul,2015 외래관광객실태조사,127.0566319,37.5406846,성수동,성동구,성수동2가,127.0566319,37.5406846,,
629,양천구,阳川区,陽川區,Seoul,2015 외래관광객실태조사,126.8553909,37.5247402,양천구,양천구,신정동,126.8553909,37.5247402,,
630,코리아나 호텔,韩国饭店,韓國飯店,Seoul,2015 외래관광객실태조사,126.9765031,37.5681809,코리아나 호텔,중구,태평로1가,126.9765031,37.5681809,,
631,한국의집,韩国之家,韓國之家,Seoul,2015 외래관광객실태조사,126.9947198,37.5602041,한국의 집,중구,필동2가,126.9947198,37.5602041,,
632,예술의전당,艺术殿堂,藝術殿堂,Seoul,2015 외래관광객실태조사,127.0128613,37.4792903,예술의전당,서초구,서초동,127.0128613,37.4792903,,
633,서울미술관,首尔市立美术馆,首爾市立美術館,Seoul,2015 외래관광객실태조사,126.9738125,37.5640625,서울시립미술관,중구,서소문동,126.9738125,37.5640625,,
634,국제뮤지엄,国际博物馆,國際博物館,Seoul,2015 외래관광객실태조사,,,,,,,,,
635,DDP (동대문디자인플라자),DDP（东大门设计广场）,DDP（東大門設計廣場）,Seoul,2015 외래관광객실태조사,127.0092236,37.5665256,DDP 동대문디자인플라자,중구,을지로7가,127.0092236,37.5665256,,
636,경마장,首尔赛马公园,首爾賽馬公園,Gyeonggi,2015 외래관광객실태조사,127.0122176,37.4452762,경마장,과천시,주암동,127.0122176,37.4452762,,
637,세종문화회관,世宗文化会馆,世宗文化會館,Seoul,2015 외래관광객실태조사,126.9756429,37.5725254,세종문화회관,종로구,세종로,126.9756429,37.5725254,,
638,서울성곽길,首尔城墙路,首爾城牆路,Seoul,2015 외래관광객실태조사,127.0084459,37.5779633,서울성곽길,종로구,창신동,127.0084459,37.5779633,,
639,망우리묘지,忘忧里公墓,忘憂里公墓,Seoul,2015 외래관광객실태조사,127.1124001,37.5947282,망우리묘지,중랑구,망우동,127.1124001,37.5947282,,
640,봉은사,奉恩寺,奉恩寺,Seoul,2015 외래관광객실태조사,127.0573766,37.514852,봉은사,강남구,삼성동,127.0573766,37.514852,,
641,조계사,曹溪寺,曹溪寺,Seoul,2015 외래관광객실태조사,126.982202,37.5738369,조계사,종로구,견지동,126.982202,37.5738369,,
642,중부시장,中部市场,中部市場,Seoul,2015 외래관광객실태조사,127.0004122,37.5653903,중부시장,중구,오장동,127.0004122,37.5653903,,
643,서울,首尔,首爾,Seoul,2015 외래관광객실태조사,,,,,,,,,
644,절/사찰,寺庙,寺廟,,2015 외래관광객실태조사,,,,,,,,,
645,라마다호텔,华美达饭店,華美達飯店,,2015 외래관광객실태조사,,,,,,,,,
646,인터컨티넨탈호텔,洲际酒店及度假村,洲際酒店及度假村,Seoul,2015 외래관광객실태조사,127.0574219,37.5126864,인터컨티넨탈호텔,강남구,삼성동,127.0574219,37.5126864,,
647,김포시티호텔,金浦市酒店,金浦市酒店,Gyeonggi,2015 외래관광객실태조사,,,김포시,김포시,통진읍,126.6265338,37.6818227,,
648,르네상스호텔,万丽酒店,萬麗酒店,,2015 외래관광객실태조사,,,,,,,,,
649,그랜드호텔,大饭店,大飯店,,2015 외래관광객실태조사,,,,,,,,,
650,엠베서더호텔,大使酒店,大使酒店,,2015 외래관광객실태조사,,,,,,,,,
651,프라자호텔,广场饭店,廣場飯店,,2015 외래관광객실태조사,,,,,,,,,
652,하얏트호텔,首尔君悦酒店,首爾君悅酒店,,2015 외래관광객실태조사,,,,,,,,,
