실태조사(2015~2019),총 375곳,,,트립닷컴(2015~2024),총 56곳,,
군포시,Gyeonggi,,현대,,,,
MBC일산드림센터,Gyeonggi,,현대,,,,
연세대학교,Seoul,강북,현대,,,,
롯데호텔,Seoul,강북,현대,,,,
웨스틴조선호텔,Seoul,강북,현대,,,,
한양대학교,Seoul,강북,현대,,,,
명지대학교,Seoul,강북,현대,,,,
동작구,Seoul,강남,현대,,,,
충무로,Seoul,강북,현대,,,,
대림역,Seoul,강남,현대,,,,
조계사,Seoul,강북,전통,,,,
장안평역,Seoul,강북,현대,,,,
과천시,Gyeonggi,,현대,,,,
건대입구역,Seoul,강북,현대,,,,
타임스퀘어,Seoul,강남,현대,,,,
신림동,Seoul,강남,현대,,,,
아주대학교,Gyeonggi,,현대,,,,
서초구,Seoul,강남,현대,,,,
당산동,Seoul,강남,현대,,,,
하남시,Gyeonggi,,현대,,,,
왕십리,Seoul,강북,현대,,,,
아침고요수목원,Gyeonggi,,현대,,,,
남동구,Incheon,,현대,,,,
중부시장,Seoul,강북,전통/현대,,,,
성신여자대학교,Seoul,강북,현대,,,,
신설동,Seoul,강북,현대,,,,
주한 러시아 대사관,Seoul,강북,현대,,,,
서울숲,Seoul,강북,현대,,,,
인왕산,Seoul,강북,현대,,,,
가산디지털단지역,Seoul,강남,현대,,,,
DDP 동대문디자인플라자,Seoul,강북,현대,,,,
혜화역,Seoul,강북,현대,,,,
장흥면,Gyeonggi,,현대,,,,
청계산,Gyeonggi,,현대,,,,
도봉산,Seoul,강북,현대,,,,
파주시,Gyeonggi,,현대,,,,
분당구,Gyeonggi,,현대,,,,
경희대학교,Seoul,강북,현대,,,,
북서울 꿈의 숲,Seoul,강북,현대,,,,
강북삼성병원,Seoul,강북,현대,,,,
원자력병원(서울),Seoul,강북,현대,,,,
아차산,Seoul,강북,현대,,,,
경희대학병원,Seoul,강북,현대,,,,
한양대학병원,Seoul,강북,현대,,,,
포시즌스 호텔,Seoul,강북,현대,,,,
유네스코회관,Seoul,강북,현대,,,,
테크노마트,Seoul,강북,현대,,,,
삼육대학교,Seoul,강북,현대,,,,
산봉동,Gyeonggi,,현대,,,,
충정로,Seoul,강북,현대,,,,
삼성동,Seoul,강남,현대,,,,
화곡동,Seoul,강남,현대,,,,
아이파크몰,Seoul,강북,현대,,,,
부천 순천향대학병원,Gyeonggi,,현대,,,,
세종대학교,Seoul,강북,현대,,,,
송파구,Seoul,강남,현대,,,,
종묘,Seoul,강북,전통,,,,
예술의전당,Seoul,강남,현대,,,,
그랜드 하얏트 인천,Incheon,,현대,,,,
남한산성,Gyeonggi,,전통,,,,
IFC몰,Seoul,강남,현대,,,,
불광동,Seoul,강북,현대,,,,
합정동,Seoul,강북,현대,,,,
가락시장,Seoul,강남,전통/현대,,,,
동두천시,Gyeonggi,,현대,,,,
선정릉,Seoul,강남,전통,,,,
중림동,Seoul,강북,현대,,,,
송정동,Seoul,강북,현대,,,,
공덕동,Seoul,강북,현대,,,,
이촌동,Seoul,강북,현대,,,,
서촌,Seoul,강북,현대,,,,
동묘시장,Seoul,강북,전통/현대,,,,
문래동,Seoul,강남,현대,,,,
고척동,Seoul,강남,현대,,,,
신도림역,Seoul,강남,현대,,,,
인천 중구,Incheon,,현대,,,,
광명동굴,Gyeonggi,,현대,,,,
흥륜사,Incheon,,전통,,,,
인천상륙작전기념관,Incheon,,현대,,,,
안산시,Gyeonggi,,현대,,,,
메이필드호텔,Seoul,강남,현대,,,,
인천 논현동,Incheon,,현대,,,,
한남동,Seoul,강북,현대,,,,
서울 풍물시장,Seoul,강북,전통/현대,,,,
청라국제도시역,Incheon,,현대,,,,
경동시장,Seoul,강북,전통/현대,,,,
수유동,Seoul,강북,현대,,,,
금천구,Seoul,강남,현대,,,,
마곡동,Seoul,강남,현대,,,,
콘래드호텔,Seoul,강남,현대,,,,
답십리역,Seoul,강북,현대,,,,
명동난타극장,Seoul,강북,현대,,,,
북악스카이웨이,Seoul,강북,현대,,,,
삼청각,Seoul,강북,전통/현대,,,,
용산가족공원,Seoul,강북,현대,,,,
상계동,Seoul,강북,현대,,,,
서울 비밥공연장,Seoul,강북,현대,,,,
서울아산병원,Seoul,강남,현대,,,,
성수동,Seoul,강북,현대,,,,
군자역,Seoul,강북,현대,,,,
기흥구,Gyeonggi,,현대,,,,
계양구,Incheon,,현대,,,,
영흥도,Incheon,,현대,,,,
송월동 동화마을,Incheon,,현대,,,,
강동구,Seoul,강남,현대,,,,
강서구,Seoul,강남,현대,,,,
숙명여자대학교,Seoul,강북,현대,,,,
국기원,Seoul,강남,현대,,,,
원당역,Gyeonggi,,현대,,,,
회기동,Seoul,강북,현대,,,,
상암동,Seoul,강북,현대,,,,
장교동,Seoul,강북,현대,,,,
소공동,Seoul,강북,현대,,,,
제부도,Gyeonggi,,현대,,,,
관악구,Seoul,강남,현대,,,,
인천문학경기장,Incheon,,현대,,,,
인천아시아드주경기장,Incheon,,현대,,,,
가천대학교,Gyeonggi,,현대,,,,
선릉,Seoul,강남,현대,,,,
제일병원,Seoul,강남,현대,,,,
을왕리해수욕장,Incheon,,현대,,,,
양재동,Seoul,강남,현대,,,,
하늘공원,Seoul,강북,현대,,,,
마두역,Gyeonggi,,현대,,,,
운서동,Incheon,,현대,,,,
동화면세점,Seoul,강북,현대,,,,
전쟁기념관,Seoul,강북,현대,,,,
단국대학교,Gyeonggi,,현대,,,,
성균관대학교,Seoul,강북,현대,,,,
서울대학교병원,Seoul,강북,현대,,,,
동대문 패션타운,Seoul,강북,현대,,,,
청계천,Seoul,강북,현대,,,,
잠실역,Seoul,강남,현대,,,,
월미도,Incheon,,현대,,,,
현대 자동차 본사,Seoul,강남,현대,,,,
중앙대학교,Seoul,강남,현대,,,,
노량진동,Seoul,강남,현대,,,,
의왕시,Gyeonggi,,현대,,,,
