CompanionID,VisitID,CompanionType
266,679,혼자 왔다
267,682,혼자 왔다
268,686,혼자 왔다
269,687,혼자 왔다
270,688,혼자 왔다
271,690,혼자 왔다
272,692,혼자 왔다
273,693,혼자 왔다
274,694,혼자 왔다
275,695,혼자 왔다
276,698,혼자 왔다
277,699,혼자 왔다
278,702,혼자 왔다
279,713,혼자 왔다
280,714,혼자 왔다
281,715,혼자 왔다
282,716,혼자 왔다
283,717,혼자 왔다
284,718,혼자 왔다
285,720,혼자 왔다
286,722,혼자 왔다
287,724,혼자 왔다
288,725,혼자 왔다
289,729,혼자 왔다
290,732,혼자 왔다
291,734,혼자 왔다
292,736,혼자 왔다
293,737,혼자 왔다
294,739,혼자 왔다
295,740,혼자 왔다
296,741,혼자 왔다
297,742,혼자 왔다
298,743,혼자 왔다
299,744,혼자 왔다
300,745,혼자 왔다
301,746,혼자 왔다
302,747,혼자 왔다
303,748,혼자 왔다
304,750,혼자 왔다
305,751,혼자 왔다
306,752,혼자 왔다
307,754,혼자 왔다
308,755,혼자 왔다
309,757,혼자 왔다
310,758,혼자 왔다
311,764,혼자 왔다
312,768,혼자 왔다
313,776,혼자 왔다
314,783,혼자 왔다
315,784,혼자 왔다
316,786,혼자 왔다
317,787,혼자 왔다
318,788,혼자 왔다
319,789,혼자 왔다
320,790,혼자 왔다
321,791,혼자 왔다
322,792,혼자 왔다
323,793,혼자 왔다
324,798,혼자 왔다
325,799,혼자 왔다
326,801,혼자 왔다
327,802,혼자 왔다
328,803,혼자 왔다
329,807,혼자 왔다
330,811,혼자 왔다
331,813,혼자 왔다
332,815,혼자 왔다
333,820,혼자 왔다
334,823,혼자 왔다
335,824,혼자 왔다
336,828,혼자 왔다
337,829,혼자 왔다
338,835,혼자 왔다
339,837,혼자 왔다
340,839,혼자 왔다
341,840,혼자 왔다
342,844,혼자 왔다
343,845,혼자 왔다
344,846,혼자 왔다
345,848,혼자 왔다
346,849,혼자 왔다
347,850,혼자 왔다
348,852,혼자 왔다
349,857,혼자 왔다
350,858,혼자 왔다
351,862,혼자 왔다
352,864,혼자 왔다
353,865,혼자 왔다
354,866,혼자 왔다
355,867,혼자 왔다
356,869,혼자 왔다
357,872,혼자 왔다
358,874,혼자 왔다
359,878,혼자 왔다
360,882,혼자 왔다
361,884,혼자 왔다
362,896,혼자 왔다
363,901,혼자 왔다
364,908,혼자 왔다
365,911,혼자 왔다
366,914,혼자 왔다
367,916,혼자 왔다
368,918,혼자 왔다
369,920,혼자 왔다
370,921,혼자 왔다
371,922,혼자 왔다
372,925,혼자 왔다
373,929,혼자 왔다
374,932,혼자 왔다
375,935,혼자 왔다
376,936,혼자 왔다
377,938,혼자 왔다
378,940,혼자 왔다
379,942,혼자 왔다
380,943,혼자 왔다
381,945,혼자 왔다
382,947,혼자 왔다
383,951,혼자 왔다
384,952,혼자 왔다
385,953,혼자 왔다
386,954,혼자 왔다
387,955,혼자 왔다
388,956,혼자 왔다
389,957,혼자 왔다
390,959,혼자 왔다
391,961,혼자 왔다
392,963,혼자 왔다
393,966,혼자 왔다
394,967,혼자 왔다
395,968,혼자 왔다
396,972,혼자 왔다
397,978,혼자 왔다
398,979,혼자 왔다
399,982,혼자 왔다
400,991,혼자 왔다
401,993,혼자 왔다
402,1000,혼자 왔다
403,1001,혼자 왔다
404,1002,혼자 왔다
405,1010,혼자 왔다
406,1012,혼자 왔다
407,1013,혼자 왔다
408,1014,혼자 왔다
409,1028,혼자 왔다
410,1032,혼자 왔다
411,1043,혼자 왔다
412,1044,혼자 왔다
413,1045,혼자 왔다
414,1054,혼자 왔다
415,1057,혼자 왔다
416,1059,혼자 왔다
417,1062,혼자 왔다
418,1063,혼자 왔다
419,1065,혼자 왔다
420,1066,혼자 왔다
421,1068,혼자 왔다
422,1070,혼자 왔다
423,1074,혼자 왔다
424,1076,혼자 왔다
425,1078,혼자 왔다
426,1081,혼자 왔다
427,1103,혼자 왔다
428,1104,혼자 왔다
429,1105,혼자 왔다
430,1109,혼자 왔다
