형태소,품사,지역,관광지,카운트
 ,a,中國,COEX水族館,3
 ,a,中國,三清洞,3
 ,a,中國,亂打秀(明洞劇場),1
 ,a,中國,光化門廣場,1
 ,a,中國,南山纜車,1
 ,a,中國,塗鴉秀 （NH藝術廳）,2
 ,a,中國,奉恩寺,1
 ,a,中國,小法蘭西,2
 ,a,中國,廣藏市場,3
 ,a,中國,弘大自由市場,1
 ,a,中國,弘益大學,3
 ,a,中國,愛寶樂園,4
 ,a,中國,新沙洞,1
 ,a,中國,昌德宮,2
 ,a,中國,明洞天主聖堂,4
 ,a,中國,星空圖書館,1
 ,a,中國,景福宮,5
 ,a,中國,東大門歷史文化公園站,1
 ,a,中國,東大門設計廣場（DDP）,1
 ,a,中國,梨泰院,3
 ,a,中國,梨花女子大學,2
 ,a,中國,汝矣島,1
 ,a,中國,汝矣島漢江公園,2
 ,a,中國,清潭洞,2
 ,a,中國,益善洞韓屋村,1
 ,a,中國,華城,1
 ,a,中國,韓國之家,3
 ,a,中國,韓國國立中央博物館,1
 ,a,中國,韓國民俗村,2
 ,a,中國台灣,N首爾塔,1
 ,a,中國香港,N首爾塔,1
 ,a,中國香港,亂打秀(明洞劇場),1
 ,a,中國香港,益善洞韓屋村,1
 ,c,中國,63大廈,1
 ,c,中國,COEX水族館,1
 ,c,中國,N首爾塔,1
 ,c,中國,仁寺洞,2
 ,c,中國,仁川唐人街,1
 ,c,中國,光化門廣場,1
 ,c,中國,南山纜車,1
 ,c,中國,塗鴉秀 （NH藝術廳）,1
 ,c,中國,小法蘭西,4
 ,c,中國,廣藏市場,3
 ,c,中國,弘大自由市場,1
 ,c,中國,弘益大學,4
 ,c,中國,愛寶樂園,1
 ,c,中國,新沙洞,1
 ,c,中國,昌德宮,1
 ,c,中國,景福宮,1
 ,c,中國,月尾島,1
 ,c,中國,梨泰院,6
 ,c,中國,汝矣島,1
 ,c,中國,汝矣島漢江公園,1
 ,c,中國,益善洞韓屋村,1
 ,c,中國,青瓦台,2
 ,c,中國,韓國民俗村,1
 ,c,中國,首爾大公園,1
 ,c,中國香港,三清洞,1
 ,c,中國香港,南山公園,1
 ,d,中國,63大廈,3
 ,d,中國,COEX水族館,5
 ,d,中國,N首爾塔,1
 ,d,中國,三星Leeum美術館,2
 ,d,中國,三清洞,3
 ,d,中國,亂打秀(明洞劇場),2
 ,d,中國,仁寺洞,2
 ,d,中國,仁川唐人街,1
 ,d,中國,光化門廣場,6
 ,d,中國,兒童大公園,2
 ,d,中國,北村韓屋村,2
 ,d,中國,南山公園,2
 ,d,中國,塗鴉秀 （NH藝術廳）,2
 ,d,中國,天空公園,1
 ,d,中國,小法蘭西,3
 ,d,中國,廣藏市場,5
 ,d,中國,弘大自由市場,1
 ,d,中國,弘益大學,6
 ,d,中國,德壽宮,1
 ,d,中國,愛寶樂園,7
 ,d,中國,新沙洞,4
 ,d,中國,昌德宮,5
 ,d,中國,景福宮,9
 ,d,中國,月尾島,1
 ,d,中國,東大門設計廣場（DDP）,5
 ,d,中國,梨泰院,3
 ,d,中國,梨花女子大學,5
 ,d,中國,汝矣島,4
 ,d,中國,汝矣島漢江公園,2
 ,d,中國,清溪川,1
 ,d,中國,漢江遊船,1
 ,d,中國,青瓦台,3
 ,d,中國,韓國之家,1
 ,d,中國,韓國民俗村,1
 ,d,中國,首爾大公園,4
 ,d,中國台灣,南山公園,1
 ,d,中國台灣,月尾島,2
 ,d,中國香港,北村韓屋村,2
 ,d,中國香港,廣藏市場,1
 ,d,中國香港,愛寶樂園,2
 ,d,中國香港,明洞,2
 ,d,中國香港,景福宮,2
 ,d,中國香港,梨泰院,2
 ,d,中國香港,樂天世界,1
 ,d,中國香港,華城,1
 ,f,中國,亂打秀(明洞劇場),1
 ,f,中國,光化門廣場,2
 ,f,中國,南山公園,1
 ,f,中國,南山谷韓屋村,1
 ,f,中國,天空公園,3
 ,f,中國,小法蘭西,2
 ,f,中國,弘益大學,1
 ,f,中國,愛寶樂園,1
 ,f,中國,新沙洞,2
 ,f,中國,昌德宮,1
 ,f,中國,明洞天主聖堂,2
 ,f,中國,星空圖書館,1
 ,f,中國,景福宮,2
 ,f,中國,東大門設計廣場（DDP）,2
 ,f,中國,梨泰院,2
 ,f,中國,汝矣島,1
 ,f,中國,汝矣島漢江公園,3
 ,f,中國,清溪川,1
 ,f,中國,漢江遊船,1
 ,f,中國,青瓦台,2
 ,f,中國,韓國國立中央博物館,1
 ,f,中國,韓國民俗村,1
 ,f,中國,首爾大公園,4
 ,f,中國台灣,COEX水族館,1
 ,f,中國香港,N首爾塔,1
 ,f,中國香港,南山公園,1
 ,f,中國香港,天空公園,2
 ,f,中國香港,弘益大學,1
 ,f,中國香港,汝矣島漢江公園,1
 ,g,中國,63大廈,19
 ,g,中國,COEX水族館,24
 ,g,中國,N首爾塔,14
 ,g,中國,三星Leeum美術館,2
 ,g,中國,三清洞,28
 ,g,中國,亂打秀(明洞劇場),8
 ,g,中國,仁寺洞,21
 ,g,中國,仁川唐人街,16
 ,g,中國,光化門廣場,24
 ,g,中國,兒童大公園,2
 ,g,中國,北村韓屋村,5
 ,g,中國,南大門市場,7
 ,g,中國,南山公園,12
 ,g,中國,南山纜車,6
 ,g,中國,南山谷韓屋村,16
 ,g,中國,塗鴉秀 （NH藝術廳）,14
 ,g,中國,天空公園,8
 ,g,中國,奉恩寺,8
 ,g,中國,小法蘭西,35
 ,g,中國,廣藏市場,37
 ,g,中國,弘大自由市場,20
 ,g,中國,弘益大學,81
 ,g,中國,德壽宮,2
 ,g,中國,愛寶樂園,35
 ,g,中國,新沙洞,32
 ,g,中國,昌德宮,55
 ,g,中國,明洞,3
 ,g,中國,明洞天主聖堂,15
 ,g,中國,星空圖書館,20
 ,g,中國,景福宮,54
 ,g,中國,月尾島,8
 ,g,中國,東大門,6
 ,g,中國,東大門歷史文化公園站,2
 ,g,中國,東大門設計廣場（DDP）,52
 ,g,中國,梨泰院,83
 ,g,中國,梨花女子大學,39
 ,g,中國,樂天世界,1
 ,g,中國,樂天世界塔,1
 ,g,中國,汝矣島,17
 ,g,中國,汝矣島漢江公園,54
 ,g,中國,清溪川,14
 ,g,中國,清潭洞,11
 ,g,中國,漢江遊船,5
 ,g,中國,益善洞韓屋村,15
 ,g,中國,華城,25
 ,g,中國,青瓦台,40
 ,g,中國,韓國之家,6
 ,g,中國,韓國國立中央博物館,15
 ,g,中國,首爾大公園,8
 ,g,中國,高尺巨蛋,4
 ,g,中國台灣,N首爾塔,1
 ,g,中國台灣,亂打秀(明洞劇場),1
 ,g,中國台灣,南山公園,4
 ,g,中國台灣,南山纜車,2
 ,g,中國台灣,天空公園,1
 ,g,中國台灣,奉恩寺,1
 ,g,中國台灣,明洞,6
 ,g,中國台灣,月尾島,1
 ,g,中國台灣,東大門設計廣場（DDP）,1
 ,g,中國台灣,梨花女子大學,1
 ,g,中國台灣,樂天世界,1
 ,g,中國香港,COEX水族館,2
 ,g,中國香港,N首爾塔,10
 ,g,中國香港,三清洞,7
 ,g,中國香港,亂打秀(明洞劇場),6
 ,g,中國香港,北村韓屋村,21
 ,g,中國香港,南山公園,2
 ,g,中國香港,南山纜車,1
 ,g,中國香港,弘益大學,6
 ,g,中國香港,愛寶樂園,8
 ,g,中國香港,新沙洞,1
 ,g,中國香港,明洞,9
 ,g,中國香港,星空圖書館,2
 ,g,中國香港,景福宮,2
 ,g,中國香港,月尾島,1
 ,g,中國香港,東大門設計廣場（DDP）,1
 ,g,中國香港,梨泰院,1
 ,g,中國香港,汝矣島漢江公園,1
 ,g,中國香港,清溪川,1
 ,g,中國香港,益善洞韓屋村,1
 ,g,中國香港,華城,1
 ,g,中國香港,首爾天空展望台,9
 ,j,中國,63大廈,3
 ,j,中國,COEX水族館,1
 ,j,中國,三星Leeum美術館,3
 ,j,中國,三清洞,4
 ,j,中國,仁川唐人街,1
 ,j,中國,北村韓屋村,3
 ,j,中國,南大門市場,2
 ,j,中國,南山公園,1
 ,j,中國,南山谷韓屋村,1
 ,j,中國,塗鴉秀 （NH藝術廳）,1
 ,j,中國,天空公園,2
 ,j,中國,小法蘭西,3
 ,j,中國,廣藏市場,3
 ,j,中國,弘大自由市場,1
 ,j,中國,弘益大學,9
 ,j,中國,德壽宮,1
 ,j,中國,新沙洞,5
 ,j,中國,昌德宮,5
 ,j,中國,明洞,3
 ,j,中國,明洞天主聖堂,2
 ,j,中國,星空圖書館,4
 ,j,中國,景福宮,2
 ,j,中國,東大門設計廣場（DDP）,5
 ,j,中國,梨泰院,5
 ,j,中國,梨花女子大學,5
 ,j,中國,汝矣島,1
 ,j,中國,汝矣島漢江公園,7
 ,j,中國,漢江遊船,1
 ,j,中國,益善洞韓屋村,3
 ,j,中國,青瓦台,5
 ,j,中國,韓國國立中央博物館,1
 ,j,中國,韓國民俗村,1
 ,j,中國台灣,天空公園,1
 ,j,中國香港,N首爾塔,2
 ,j,中國香港,亂打秀(明洞劇場),3
 ,j,中國香港,北村韓屋村,23
 ,j,中國香港,愛寶樂園,16
 ,j,中國香港,明洞,4
 ,j,中國香港,星空圖書館,1
 ,j,中國香港,樂天世界,1
 ,j,中國香港,華城,1
 ,j,中國香港,首爾天空展望台,5
 ,j,中國香港,首爾遊樂園,1
 ,k,中國,三清洞,1
 ,k,中國,南山公園,1
 ,k,中國,塗鴉秀 （NH藝術廳）,1
 ,k,中國,梨花女子大學,1
 ,k,中國,汝矣島漢江公園,1
 ,k,中國台灣,北村韓屋村,1
 ,m,中國,弘大自由市場,1
 ,m,中國,昌德宮,2
 ,m,中國,星空圖書館,1
 ,m,中國,景福宮,1
 ,m,中國,梨泰院,1
 ,m,中國,汝矣島,3
 ,m,中國香港,首爾天空展望台,1
 ,n,中國,63大廈,7
 ,n,中國,COEX水族館,15
 ,n,中國,N首爾塔,7
 ,n,中國,SBS MTV-THE SHOW,1
 ,n,中國,三清洞,9
 ,n,中國,亂打秀(明洞劇場),9
 ,n,中國,仁寺洞,9
 ,n,中國,仁川唐人街,5
 ,n,中國,光化門廣場,7
 ,n,中國,北村韓屋村,2
 ,n,中國,南大門市場,3
 ,n,中國,南山公園,1
 ,n,中國,南山纜車,6
 ,n,中國,塗鴉秀 （NH藝術廳）,3
 ,n,中國,天空公園,6
 ,n,中國,奉恩寺,2
 ,n,中國,小法蘭西,14
 ,n,中國,廣藏市場,11
 ,n,中國,弘大自由市場,4
 ,n,中國,弘益大學,16
 ,n,中國,德壽宮,2
 ,n,中國,愛寶樂園,17
 ,n,中國,新沙洞,5
 ,n,中國,昌德宮,10
 ,n,中國,明洞,5
 ,n,中國,明洞天主聖堂,6
 ,n,中國,星空圖書館,5
 ,n,中國,景福宮,25
 ,n,中國,月尾島,2
 ,n,中國,東大門,4
 ,n,中國,東大門歷史文化公園站,2
 ,n,中國,東大門設計廣場（DDP）,13
 ,n,中國,梨泰院,16
 ,n,中國,梨花女子大學,14
 ,n,中國,樂天世界,3
 ,n,中國,汝矣島,6
 ,n,中國,汝矣島漢江公園,7
 ,n,中國,清溪川,4
 ,n,中國,清潭洞,2
 ,n,中國,漢江遊船,2
 ,n,中國,益善洞韓屋村,1
 ,n,中國,華城,5
 ,n,中國,青瓦台,17
 ,n,中國,韓國之家,2
 ,n,中國,韓國國立中央博物館,7
 ,n,中國,韓國民俗村,3
 ,n,中國,首爾大公園,6
 ,n,中國,首爾遊樂園,4
 ,n,中國台灣,COEX水族館,1
 ,n,中國台灣,兒童大公園,1
 ,n,中國台灣,南山公園,1
 ,n,中國台灣,南山纜車,1
 ,n,中國台灣,天空公園,2
 ,n,中國台灣,奉恩寺,1
 ,n,中國台灣,弘益大學,2
 ,n,中國台灣,明洞,1
 ,n,中國台灣,梨花女子大學,1
 ,n,中國台灣,樂天世界,2
 ,n,中國香港,N首爾塔,1
 ,n,中國香港,三清洞,3
 ,n,中國香港,亂打秀(明洞劇場),1
 ,n,中國香港,北村韓屋村,2
 ,n,中國香港,南山公園,1
 ,n,中國香港,明洞,4
 ,n,中國香港,明洞天主聖堂,1
 ,n,中國香港,景福宮,1
 ,n,中國香港,樂天世界,3
 ,n,中國香港,清溪川,1
 ,n,中國香港,華城,1
 ,ni,中國,三星Leeum美術館,1
 ,ni,中國,梨花女子大學,1
 ,np,中國,亂打秀(明洞劇場),5
 ,np,中國,南山公園,1
 ,np,中國,塗鴉秀 （NH藝術廳）,4
 ,np,中國,天空公園,1
 ,np,中國,小法蘭西,1
 ,np,中國,弘大自由市場,1
 ,np,中國,弘益大學,3
 ,np,中國,愛寶樂園,1
 ,np,中國,昌德宮,5
 ,np,中國,景福宮,1
 ,np,中國,東大門設計廣場（DDP）,2
 ,np,中國,梨泰院,1
 ,np,中國,梨花女子大學,2
 ,np,中國,汝矣島漢江公園,2
 ,np,中國,華城,2
 ,np,中國,青瓦台,2
 ,np,中國,首爾大公園,1
 ,p,中國,63大廈,1
 ,p,中國,N首爾塔,1
 ,p,中國,SBS MTV-THE SHOW,1
 ,p,中國,仁寺洞,1
 ,p,中國,光化門廣場,1
 ,p,中國,北村韓屋村,2
 ,p,中國,南山谷韓屋村,1
 ,p,中國,廣藏市場,1
 ,p,中國,弘益大學,2
 ,p,中國,新沙洞,1
 ,p,中國,昌德宮,2
 ,p,中國,景福宮,2
 ,p,中國,月尾島,2
 ,p,中國,東大門設計廣場（DDP）,1
 ,p,中國,梨泰院,3
 ,p,中國,梨花女子大學,1
 ,p,中國,汝矣島漢江公園,2
 ,p,中國,清潭洞,1
 ,p,中國,益善洞韓屋村,2
 ,p,中國,華城,2
 ,p,中國,青瓦台,1
 ,p,中國,韓國民俗村,1
 ,p,中國,首爾天空展望台,4
 ,p,中國台灣,東大門設計廣場（DDP）,1
 ,p,中國香港,63大廈,1
 ,p,中國香港,南山纜車,1
 ,p,中國香港,愛寶樂園,1
 ,p,中國香港,明洞,1
 ,p,中國香港,首爾天空展望台,2
 ,q,中國,63大廈,2
 ,q,中國,三清洞,1
 ,q,中國,仁寺洞,3
 ,q,中國,北村韓屋村,1
 ,q,中國,南山谷韓屋村,1
 ,q,中國,天空公園,2
 ,q,中國,奉恩寺,1
 ,q,中國,小法蘭西,8
 ,q,中國,廣藏市場,3
 ,q,中國,弘大自由市場,3
 ,q,中國,弘益大學,8
 ,q,中國,德壽宮,1
 ,q,中國,新沙洞,3
 ,q,中國,昌德宮,8
 ,q,中國,明洞天主聖堂,1
 ,q,中國,星空圖書館,18
 ,q,中國,景福宮,12
 ,q,中國,東大門歷史文化公園站,1
 ,q,中國,東大門設計廣場（DDP）,9
 ,q,中國,梨泰院,18
 ,q,中國,梨花女子大學,3
 ,q,中國,樂天世界,1
 ,q,中國,汝矣島,9
 ,q,中國,汝矣島漢江公園,9
 ,q,中國,清溪川,1
 ,q,中國,清潭洞,2
 ,q,中國,華城,3
 ,q,中國,韓國之家,1
 ,q,中國台灣,弘益大學,1
 ,q,中國台灣,首爾天空展望台,1
 ,q,中國香港,北村韓屋村,2
 ,q,中國香港,南山公園,1
 ,q,中國香港,新沙洞,1
 ,q,中國香港,首爾天空展望台,1
 ,r,中國,亂打秀(明洞劇場),1
 ,r,中國,昌德宮,1
 ,r,中國,星空圖書館,1
 ,r,中國,東大門設計廣場（DDP）,1
 ,r,中國,汝矣島,1
 ,r,中國,青瓦台,2
 ,r,中國香港,星空圖書館,1
 ,u,中國,COEX水族館,1
 ,u,中國,N首爾塔,2
 ,u,中國,亂打秀(明洞劇場),2
 ,u,中國,光化門廣場,2
 ,u,中國,南山公園,2
 ,u,中國,南山谷韓屋村,1
 ,u,中國,小法蘭西,2
 ,u,中國,廣藏市場,1
 ,u,中國,弘大自由市場,1
 ,u,中國,弘益大學,2
 ,u,中國,德壽宮,2
 ,u,中國,愛寶樂園,5
 ,u,中國,新沙洞,1
 ,u,中國,昌德宮,1
 ,u,中國,明洞天主聖堂,1
 ,u,中國,景福宮,3
 ,u,中國,梨泰院,4
 ,u,中國,梨花女子大學,2
 ,u,中國,汝矣島,4
 ,u,中國,漢江遊船,2
 ,u,中國,益善洞韓屋村,1
 ,u,中國,青瓦台,1
 ,u,中國,韓國國立中央博物館,1
 ,u,中國台灣,益善洞韓屋村,1
 ,u,中國台灣,首爾天空展望台,1
 ,u,中國香港,北村韓屋村,1
 ,u,中國香港,南山公園,1
 ,u,中國香港,明洞,1
 ,u,中國香港,首爾天空展望台,4
 ,v,中國,63大廈,38
 ,v,中國,COEX水族館,50
 ,v,中國,N首爾塔,22
 ,v,中國,SBS MTV-THE SHOW,7
 ,v,中國,YG娛樂公司,1
 ,v,中國,三星Leeum美術館,15
 ,v,中國,三清洞,39
 ,v,中國,亂打秀(明洞劇場),16
 ,v,中國,仁寺洞,19
 ,v,中國,仁川唐人街,13
 ,v,中國,光化門廣場,28
 ,v,中國,兒童大公園,7
 ,v,中國,北村韓屋村,14
 ,v,中國,南大門市場,6
 ,v,中國,南山公園,26
 ,v,中國,南山纜車,13
 ,v,中國,南山谷韓屋村,19
 ,v,中國,塗鴉秀 （NH藝術廳）,17
 ,v,中國,天空公園,16
 ,v,中國,奉恩寺,13
 ,v,中國,小法蘭西,55
 ,v,中國,廣藏市場,55
 ,v,中國,弘大自由市場,36
 ,v,中國,弘益大學,118
 ,v,中國,德壽宮,11
 ,v,中國,愛寶樂園,43
 ,v,中國,新沙洞,84
 ,v,中國,昌德宮,92
 ,v,中國,明洞,31
 ,v,中國,明洞天主聖堂,26
 ,v,中國,星空圖書館,75
 ,v,中國,景福宮,57
 ,v,中國,月尾島,11
 ,v,中國,東大門,5
 ,v,中國,東大門歷史文化公園站,4
 ,v,中國,東大門設計廣場（DDP）,70
 ,v,中國,梨泰院,130
 ,v,中國,梨花女子大學,110
 ,v,中國,樂天世界,6
 ,v,中國,汝矣島,51
 ,v,中國,汝矣島漢江公園,96
 ,v,中國,清溪川,27
 ,v,中國,清潭洞,37
 ,v,中國,漢江遊船,5
 ,v,中國,益善洞韓屋村,24
 ,v,中國,華城,43
 ,v,中國,青瓦台,57
 ,v,中國,韓國之家,12
 ,v,中國,韓國國立中央博物館,3
 ,v,中國,韓國民俗村,8
 ,v,中國,首爾大公園,13
 ,v,中國,首爾遊樂園,3
 ,v,中國,高尺巨蛋,1
 ,v,中國台灣,COEX水族館,5
 ,v,中國台灣,N首爾塔,2
 ,v,中國台灣,亂打秀(明洞劇場),1
 ,v,中國台灣,南山公園,1
 ,v,中國台灣,南山纜車,6
 ,v,中國台灣,奉恩寺,1
 ,v,中國台灣,小法蘭西,1
 ,v,中國台灣,弘益大學,1
 ,v,中國台灣,明洞,5
 ,v,中國台灣,星空圖書館,1
 ,v,中國台灣,景福宮,1
 ,v,中國台灣,樂天世界,2
 ,v,中國台灣,清潭洞,1
 ,v,中國台灣,益善洞韓屋村,1
 ,v,中國台灣,首爾天空展望台,2
 ,v,中國香港,63大廈,2
 ,v,中國香港,COEX水族館,2
 ,v,中國香港,N首爾塔,18
 ,v,中國香港,三清洞,10
 ,v,中國香港,亂打秀(明洞劇場),20
 ,v,中國香港,仁寺洞,6
 ,v,中國香港,北村韓屋村,65
 ,v,中國香港,南山公園,14
 ,v,中國香港,南山纜車,5
 ,v,中國香港,南山谷韓屋村,1
 ,v,中國香港,天空公園,3
 ,v,中國香港,小法蘭西,1
 ,v,中國香港,廣藏市場,3
 ,v,中國香港,弘益大學,8
 ,v,中國香港,愛寶樂園,56
 ,v,中國香港,新沙洞,5
 ,v,中國香港,明洞,29
 ,v,中國香港,明洞天主聖堂,1
 ,v,中國香港,星空圖書館,11
 ,v,中國香港,景福宮,7
 ,v,中國香港,月尾島,1
 ,v,中國香港,梨泰院,1
 ,v,中國香港,梨花女子大學,4
 ,v,中國香港,樂天世界,12
 ,v,中國香港,汝矣島漢江公園,1
 ,v,中國香港,清溪川,4
 ,v,中國香港,華城,3
 ,v,中國香港,首爾天空展望台,32
 ,w,中國,63大廈,1
 ,w,中國,COEX水族館,2
 ,w,中國,三星Leeum美術館,1
 ,w,中國,三清洞,1
 ,w,中國,亂打秀(明洞劇場),2
 ,w,中國,仁寺洞,2
 ,w,中國,仁川唐人街,2
 ,w,中國,光化門廣場,2
 ,w,中國,南大門市場,1
 ,w,中國,南山公園,1
 ,w,中國,南山纜車,1
 ,w,中國,塗鴉秀 （NH藝術廳）,1
 ,w,中國,天空公園,1
 ,w,中國,小法蘭西,2
 ,w,中國,廣藏市場,7
 ,w,中國,弘益大學,2
 ,w,中國,愛寶樂園,1
 ,w,中國,新沙洞,2
 ,w,中國,昌德宮,4
 ,w,中國,明洞,3
 ,w,中國,星空圖書館,1
 ,w,中國,景福宮,4
 ,w,中國,東大門設計廣場（DDP）,1
 ,w,中國,梨泰院,6
 ,w,中國,梨花女子大學,7
 ,w,中國,汝矣島,1
 ,w,中國,汝矣島漢江公園,4
 ,w,中國,華城,1
 ,w,中國,青瓦台,2
 ,w,中國,韓國民俗村,1
 ,w,中國香港,N首爾塔,2
 ,w,中國香港,亂打秀(明洞劇場),7
 ,w,中國香港,北村韓屋村,8
 ,w,中國香港,南山公園,1
 ,w,中國香港,愛寶樂園,15
 ,w,中國香港,明洞,1
 ,w,中國香港,清溪川,1
 ,w,中國香港,首爾天空展望台,4
!,w,中國,63大廈,1
!,w,中國,COEX水族館,3
!,w,中國,N首爾塔,1
!,w,中國,三星Leeum美術館,1
!,w,中國,三清洞,1
!,w,中國,亂打秀(明洞劇場),1
!,w,中國,光化門廣場,1
!,w,中國,兒童大公園,1
!,w,中國,北村韓屋村,2
!,w,中國,奉恩寺,1
!,w,中國,小法蘭西,1
!,w,中國,廣藏市場,3
!,w,中國,弘大自由市場,1
!,w,中國,弘益大學,15
!,w,中國,愛寶樂園,3
!,w,中國,昌德宮,1
!,w,中國,明洞,3
!,w,中國,景福宮,1
!,w,中國,東大門設計廣場（DDP）,5
!,w,中國,梨泰院,3
!,w,中國,梨花女子大學,4
!,w,中國,汝矣島漢江公園,3
!,w,中國,清潭洞,5
!,w,中國,青瓦台,3
!,w,中國台灣,N首爾塔,4
!,w,中國台灣,亂打秀(明洞劇場),5
!,w,中國台灣,小法蘭西,1
!,w,中國台灣,弘益大學,2
!,w,中國台灣,昌德宮,3
!,w,中國台灣,梨花女子大學,2
!,w,中國台灣,樂天世界,1
!,w,中國香港,COEX水族館,1
!,w,中國香港,N首爾塔,4
!,w,中國香港,南山公園,9
!,w,中國香港,弘益大學,1
!,w,中國香港,明洞,1
!,w,中國香港,星空圖書館,1
!,w,中國香港,東大門,2
!,w,中國香港,東大門設計廣場（DDP）,1
!,w,中國香港,梨泰院,2
!,w,中國香港,清溪川,3
"""",w,中國,COEX水族館,1
"""",w,中國,三清洞,1
"""",w,中國,弘益大學,32
"""",w,中國,新沙洞,24
"""",w,中國,景福宮,2
"""",w,中國,東大門設計廣場（DDP）,8
"""",w,中國,汝矣島漢江公園,2
"""",w,中國,清潭洞,2
"""",w,中國,青瓦台,2
#,w,中國,天空公園,1
#,w,中國,廣藏市場,3
#,w,中國,弘益大學,5
#,w,中國,新沙洞,3
#,w,中國,昌德宮,7
#,w,中國,明洞天主聖堂,5
#,w,中國,星空圖書館,2
#,w,中國,景福宮,1
#,w,中國,月尾島,3
#,w,中國,東大門設計廣場（DDP）,13
#,w,中國,梨泰院,8
#,w,中國,梨花女子大學,4
#,w,中國,汝矣島,1
#,w,中國,汝矣島漢江公園,3
#,w,中國,益善洞韓屋村,3
#,w,中國,華城,4
#,w,中國,青瓦台,4
#,w,中國香港,弘益大學,3
$,w,中國香港,明洞,1
$,w,中國香港,景福宮,1
%,w,中國,COEX水族館,1
%,w,中國,德壽宮,2
%,w,中國,愛寶樂園,1
%,w,中國,昌德宮,3
%,w,中國,景福宮,1
%,w,中國台灣,COEX水族館,1
%,w,中國香港,N首爾塔,1
%,w,中國香港,南山公園,1
%,w,中國香港,樂天世界,1
&,w,中國,三清洞,2
&,w,中國,光化門廣場,1
&,w,中國,小法蘭西,1
&,w,中國,廣藏市場,1
&,w,中國,弘益大學,22
&,w,中國,新沙洞,23
&,w,中國,梨泰院,4
&,w,中國,清潭洞,2
&,w,中國香港,首爾大公園,1
',w,中國,光化門廣場,2
',w,中國,小法蘭西,16
',w,中國,星空圖書館,2
',w,中國,梨花女子大學,2
',w,中國,韓國國立中央博物館,4
(,w,中國,63大廈,1
(,w,中國,三清洞,3
(,w,中國,亂打秀(明洞劇場),1
(,w,中國,仁寺洞,3
(,w,中國,仁川唐人街,1
(,w,中國,光化門廣場,4
(,w,中國,兒童大公園,1
(,w,中國,北村韓屋村,1
(,w,中國,南山谷韓屋村,3
(,w,中國,天空公園,4
(,w,中國,奉恩寺,1
(,w,中國,廣藏市場,2
(,w,中國,弘益大學,8
(,w,中國,德壽宮,2
(,w,中國,愛寶樂園,4
(,w,中國,昌德宮,11
(,w,中國,明洞,4
(,w,中國,明洞天主聖堂,1
(,w,中國,星空圖書館,3
(,w,中國,景福宮,13
(,w,中國,東大門,3
(,w,中國,東大門歷史文化公園站,1
(,w,中國,東大門設計廣場（DDP）,7
(,w,中國,梨泰院,6
(,w,中國,梨花女子大學,1
(,w,中國,汝矣島,5
(,w,中國,汝矣島漢江公園,12
(,w,中國,清溪川,4
(,w,中國,清潭洞,3
(,w,中國,益善洞韓屋村,3
(,w,中國,華城,4
(,w,中國,青瓦台,2
(,w,中國,韓國國立中央博物館,1
(,w,中國,高尺巨蛋,1
(,w,中國台灣,COEX水族館,1
(,w,中國台灣,南山公園,1
(,w,中國香港,南山公園,1
(,w,中國香港,廣藏市場,2
(,w,中國香港,弘益大學,1
(,w,中國香港,愛寶樂園,1
(,w,中國香港,華城,1
),w,中國,63大廈,3
),w,中國,三清洞,3
),w,中國,亂打秀(明洞劇場),1
),w,中國,仁寺洞,4
),w,中國,仁川唐人街,1
),w,中國,光化門廣場,4
),w,中國,兒童大公園,1
),w,中國,北村韓屋村,1
),w,中國,南山谷韓屋村,3
),w,中國,塗鴉秀 （NH藝術廳）,1
),w,中國,天空公園,5
),w,中國,奉恩寺,1
),w,中國,廣藏市場,3
),w,中國,弘益大學,7
),w,中國,德壽宮,2
),w,中國,愛寶樂園,3
),w,中國,昌德宮,10
),w,中國,明洞,4
),w,中國,明洞天主聖堂,1
),w,中國,星空圖書館,3
),w,中國,景福宮,9
),w,中國,東大門,3
),w,中國,東大門歷史文化公園站,1
),w,中國,東大門設計廣場（DDP）,8
),w,中國,梨泰院,5
),w,中國,梨花女子大學,1
),w,中國,汝矣島,3
),w,中國,汝矣島漢江公園,11
),w,中國,清溪川,4
),w,中國,清潭洞,3
),w,中國,益善洞韓屋村,3
),w,中國,華城,4
),w,中國,青瓦台,3
),w,中國,韓國國立中央博物館,1
),w,中國,高尺巨蛋,1
),w,中國台灣,COEX水族館,1
),w,中國台灣,南山公園,1
),w,中國香港,廣藏市場,2
),w,中國香港,弘益大學,1
),w,中國香港,愛寶樂園,2
),w,中國香港,華城,1
*,w,中國,弘大自由市場,2
*,w,中國,青瓦台,1
*,w,中國,韓國國立中央博物館,2
*,w,中國香港,明洞,1
+,w,中國,三星Leeum美術館,2
+,w,中國,三清洞,1
+,w,中國,仁川唐人街,1
+,w,中國,光化門廣場,1
+,w,中國,南山纜車,1
+,w,中國,塗鴉秀 （NH藝術廳）,4
+,w,中國,小法蘭西,2
+,w,中國,廣藏市場,3
+,w,中國,弘益大學,1
+,w,中國,愛寶樂園,3
+,w,中國,新沙洞,4
+,w,中國,昌德宮,3
+,w,中國,景福宮,2
+,w,中國,東大門設計廣場（DDP）,1
+,w,中國,梨泰院,2
+,w,中國,梨花女子大學,1
+,w,中國,汝矣島漢江公園,1
+,w,中國,青瓦台,1
+,w,中國台灣,樂天世界,1
+,w,中國香港,63大廈,1
+,w,中國香港,景福宮,1
+,w,中國香港,樂天世界,1
