OtherVisitID,VisitID,VisitCountry,BeforeAfterKoreaType
287,3463,중국,Before
288,3468,대만,Before
289,3471,일본,Before
290,3475,중국,Before
291,3495,중국,Before
292,3502,태국,Before
293,3504,일본,Before
294,3506,홍콩,Before
295,3519,대만,Before
296,3531,중국,Before
297,3538,일본,Before
298,3544,일본,Before
299,3562,기타,Before
300,3575,일본,Before
301,3593,싱가포르,Before
302,3604,중국,Before
303,3610,기타,Before
304,3631,홍콩,Before
305,3632,대만,Before
306,3645,중국,Before
307,3652,기타,Before
308,3653,일본,Before
309,3668,홍콩,Before
310,3669,대만,Before
311,3670,싱가포르,Before
312,3671,싱가포르,Before
313,3674,중국,Before
314,3715,일본,Before
315,3719,중국,Before
316,3724,중국,Before
317,3729,태국,Before
318,3730,중국,Before
319,3733,일본,Before
320,3737,대만,Before
321,3738,홍콩,Before
322,3743,일본,Before
323,3748,일본,Before
324,3749,기타,Before
325,3806,기타,Before
326,3807,중국,Before
327,3821,중국,Before
328,3838,일본,Before
329,3850,일본,Before
330,3854,일본,Before
331,3961,중국,Before
332,3972,미국,Before
333,4002,기타,Before
334,4027,기타,Before
335,4030,기타,Before
336,4037,영국,Before
337,4038,프랑스,Before
338,4039,기타,Before
339,4045,중국,Before
340,4051,태국,Before
341,4056,중국,Before
342,4063,중국,Before
343,4081,기타,Before
344,4082,일본,Before
345,4092,싱가포르,Before
346,4100,미국,Before
347,4111,중국,Before
348,4115,홍콩,Before
349,4117,기타,Before
350,4118,홍콩,Before
351,4126,영국,Before
352,4142,대만,Before
353,4149,일본,Before
354,4154,일본,Before
355,4172,기타,Before
356,4219,캐나다,Before
357,4237,중국,Before
358,4245,태국,Before
359,4258,기타,Before
360,4263,미국,Before
361,4264,중국,Before
362,4268,홍콩,Before
363,4269,일본,Before
364,4278,홍콩,Before
365,4310,홍콩,Before
366,4329,중국,Before
367,4330,일본,Before
368,4336,기타,Before
369,4338,일본,Before
370,4358,기타,Before
371,4431,기타,Before
372,4432,중국,Before
373,4433,태국,Before
374,4435,싱가포르,Before
375,4440,미국,Before
376,4444,일본,Before
377,4450,태국,Before
378,4453,일본,Before
379,4469,일본,Before
380,4474,일본,Before
381,4475,홍콩,Before
382,4488,일본,Before
383,4489,기타,Before
384,4493,기타,Before
385,4494,영국,Before
386,4496,일본,Before
387,4497,일본,Before
388,4499,홍콩,Before
389,4502,일본,Before
390,4504,일본,Before
391,4505,기타,Before
392,4506,기타,Before
393,4518,중국,Before
394,4519,기타,Before
395,4527,일본,Before
396,4528,일본,Before
397,4534,미국,Before
398,4551,중국,Before
399,4552,미국,Before
400,4556,일본,Before
401,4567,일본,Before
402,4570,일본,Before
403,4574,기타,Before
404,4576,호주,Before
405,4585,기타,Before
406,4592,중국,Before
407,4594,일본,Before
408,4597,프랑스,Before
409,4598,일본,Before
410,4613,홍콩,Before
411,4615,중국,Before
412,4627,홍콩,Before
413,4640,대만,Before
414,4642,중국,Before
415,4647,일본,Before
416,4648,일본,Before
417,4657,기타,Before
418,4658,기타,Before
419,4664,중국,Before
420,4665,미국,Before
421,4668,기타,Before
422,4674,중국,Before
423,4682,중국,Before
424,4694,홍콩,Before
425,4867,기타,Before
426,4893,기타,Before
427,4924,중국,Before
428,5015,일본,Before
429,5016,중국,Before
430,5018,태국,Before
431,5020,홍콩,Before
432,5032,일본,Before
433,5034,대만,Before
434,5040,대만,Before
435,5052,기타,Before
436,5054,일본,Before
437,5070,기타,Before
438,5074,기타,Before
439,5075,기타,Before
440,5084,중국,Before
441,5087,일본,Before
442,5089,일본,Before
443,5102,일본,Before
444,5104,일본,Before
445,5109,홍콩,Before
446,5111,영국,Before
447,5112,영국,Before
448,5190,싱가포르,Before
449,5194,중국,Before
450,5196,일본,Before
451,5204,홍콩,Before
452,5207,일본,Before
453,5209,일본,Before
454,5215,기타,Before
455,5226,기타,Before
456,5230,중국,Before
457,5232,태국,Before
458,5233,홍콩,Before
459,5243,중국,Before
460,5250,일본,Before
461,5253,미국,Before
462,5254,중국,Before
463,5256,일본,Before
464,5260,미국,Before
465,5263,호주,Before
466,5351,중국,Before
467,5353,홍콩,Before
468,5357,미국,Before
469,5360,홍콩,Before
470,5365,일본,Before
471,5366,중국,Before
472,5367,중국,Before
473,5375,영국,Before
474,5386,중국,Before
475,5395,홍콩,Before
476,5398,중국,Before
477,5399,미국,Before
478,5409,기타,Before
479,5416,중국,Before
480,5419,중국,Before
481,5421,태국,Before
482,5433,중국,Before
483,5447,기타,Before
484,5494,독일,Before
485,5497,중국,Before
486,5501,중국,Before
487,5512,중국,Before
488,5517,대만,Before
489,5529,중국,Before
490,5530,중국,Before
491,5532,홍콩,Before
492,5533,독일,Before
493,5545,중국,Before
494,5588,싱가포르,Before
495,5592,기타,Before
496,5598,미국,Before
497,5638,홍콩,Before
498,5641,일본,Before
499,5648,독일,Before
500,5649,중국,Before
501,5656,캐나다,Before
502,5677,일본,Before
503,5678,기타,Before
504,5680,일본,Before
505,5683,중국,Before
506,5700,기타,Before
507,5724,대만,Before
508,5906,대만,Before
509,5916,중국,Before
510,5923,프랑스,Before
511,5967,일본,Before
512,6004,일본,Before
513,6006,중국,Before
514,6008,기타,Before
515,6027,태국,Before
516,6047,싱가포르,Before
517,6054,미국,Before
518,6057,일본,Before
519,6071,중국,Before
520,6072,일본,Before
521,6075,기타,Before
522,6082,일본,Before
523,6100,중국,Before
524,6102,호주,Before
525,6104,중국,Before
526,6111,홍콩,Before
527,6112,기타,Before
528,6115,호주,Before
529,6118,기타,Before
530,6141,중국,Before
531,6175,일본,Before
532,6181,싱가포르,Before
533,6183,영국,Before
534,6188,홍콩,Before
535,6189,기타,Before
536,6192,호주,Before
537,6207,기타,Before
538,6231,중국,Before
539,6244,중국,Before
540,6245,미국,Before
541,6248,홍콩,Before
542,6258,홍콩,Before
543,6262,중국,Before
544,6270,캐나다,Before
545,6284,홍콩,Before
546,6290,중국,Before
547,6299,영국,Before
548,6329,미국,Before
549,6337,대만,Before
550,6338,일본,Before
551,6341,중국,Before
552,6365,대만,Before
553,6376,일본,Before
554,6380,일본,Before
555,6389,일본,Before
556,6394,일본,Before
557,6397,일본,Before
558,6415,싱가포르,Before
559,6462,일본,Before
560,6472,중국,Before
561,6507,일본,Before
562,6517,대만,Before
563,6523,일본,Before
564,6524,일본,Before
565,6610,프랑스,Before
566,6613,기타,Before
567,6629,호주,Before
568,6633,기타,Before
569,6636,대만,Before
570,6697,일본,Before
571,6701,대만,Before
572,6825,중국,Before
573,7005,싱가포르,Before
574,7012,중국,Before
575,7027,싱가포르,Before
576,7031,일본,Before
577,7042,기타,Before
578,7049,태국,Before
579,7101,중국,Before
580,7114,대만,Before
581,7131,일본,Before
582,7182,중국,Before
583,7192,기타,Before
584,7220,기타,Before
585,7233,기타,Before
586,7242,홍콩,Before
587,7361,일본,Before
588,7393,일본,Before
589,7397,일본,Before
590,7410,일본,Before
591,7416,영국,Before
592,7418,일본,Before
593,7425,일본,Before
594,7438,중국,Before
595,7443,중국,Before
596,7480,중국,Before
597,7489,일본,Before
598,7500,일본,Before
599,7503,일본,Before
600,7510,일본,Before
601,7530,중국,Before
602,7532,일본,Before
603,7681,프랑스,Before
604,7682,홍콩,Before
605,7684,중국,Before
606,7693,싱가포르,Before
607,7809,미국,Before
608,7849,중국,Before
609,7851,대만,Before
610,7860,일본,Before
611,7881,싱가포르,Before
612,7882,일본,Before
613,7889,대만,Before
614,8008,중국,Before
615,8012,태국,Before
616,8058,캐나다,Before
617,8061,태국,Before
618,8072,중국,Before
619,8073,일본,Before
620,8076,홍콩,Before
621,8080,홍콩,Before
622,8082,호주,Before
623,8084,일본,Before
624,8177,싱가포르,Before
625,8186,중국,Before
626,8189,일본,Before
627,8231,싱가포르,Before
628,8241,캐나다,Before
629,8321,일본,Before
630,8332,중국,Before
631,8338,태국,Before
632,8346,싱가포르,Before
633,8350,미국,Before
634,8362,태국,Before
635,8363,일본,Before
636,8364,중국,Before
637,8373,기타,Before
638,8383,기타,Before
639,8391,기타,Before
640,8411,일본,Before
641,8414,일본,Before
642,8448,기타,Before
643,8487,중국,Before
644,8498,일본,Before
645,8549,일본,Before
646,8557,호주,Before
647,8560,일본,Before
648,8571,중국,Before
649,8572,미국,Before
650,8575,미국,Before
651,8577,기타,Before
652,8654,일본,Before
653,8662,기타,Before
654,8663,호주,Before
655,8694,중국,Before
656,8704,대만,Before
657,8705,중국,Before
658,8716,중국,Before
659,8739,독일,Before
660,8740,영국,Before
661,8800,일본,Before
662,8809,중국,Before
663,8824,중국,Before
664,8834,미국,Before
665,8836,싱가포르,Before
666,8928,기타,Before
667,8993,기타,Before
668,9078,홍콩,Before
669,9079,일본,Before
670,9096,일본,Before
671,9102,일본,Before
672,9144,중국,Before
673,9187,중국,Before
674,9195,일본,Before
675,9212,독일,Before
676,9218,기타,Before
677,9230,일본,Before
678,9231,대만,Before
679,9239,싱가포르,Before
680,9269,호주,Before
681,9271,중국,Before
682,9273,기타,Before
683,9343,중국,Before
684,9345,일본,Before
685,9348,싱가포르,Before
686,9353,중국,Before
687,9422,대만,Before
688,9487,중국,Before
689,9489,대만,Before
690,9492,일본,Before
691,9523,중국,Before
692,9548,기타,Before
693,9549,중국,Before
694,9560,일본,Before
695,9566,기타,Before
696,9570,미국,Before
697,9586,일본,Before
698,9589,홍콩,Before
699,9601,중국,Before
700,9648,기타,Before
701,9665,홍콩,Before
702,9666,일본,Before
703,9688,중국,Before
704,9733,일본,Before
705,9741,중국,Before
706,9752,홍콩,Before
707,9754,일본,Before
708,9756,중국,Before
709,9758,일본,Before
710,9761,일본,Before
711,9762,대만,Before
712,9776,홍콩,Before
713,9818,중국,Before
714,9837,중국,Before
715,9919,중국,Before
716,9940,중국,Before
717,9950,기타,Before
718,9966,중국,Before
719,9967,대만,Before
720,9968,대만,Before
721,9975,중국,Before
722,9985,일본,Before
723,9989,기타,Before
724,9990,일본,Before
725,10053,호주,Before
726,10054,일본,Before
727,10056,중국,Before
728,10112,중국,Before
729,10113,일본,Before
730,10131,기타,Before
731,10140,중국,Before
732,10144,영국,Before
733,10146,중국,Before
734,10151,기타,Before
735,10163,중국,Before
736,10167,기타,Before
737,10168,일본,Before
738,10171,일본,Before
739,10179,중국,Before
740,10302,중국,Before
741,10324,홍콩,Before
742,10338,영국,Before
743,10342,대만,Before
744,10344,일본,Before
745,10351,일본,Before
746,10352,홍콩,Before
747,10353,태국,Before
748,10359,대만,Before
749,10364,중국,Before
750,10398,중국,Before
751,10400,홍콩,Before
752,10402,싱가포르,Before
753,10411,중국,Before
754,10425,중국,Before
755,10426,태국,Before
756,10427,일본,Before
757,10428,일본,Before
758,10429,기타,Before
759,10446,일본,Before
760,10450,기타,Before
761,10477,일본,Before
762,10478,중국,Before
763,10479,일본,Before
764,10487,기타,Before
765,10488,중국,Before
766,10501,기타,Before
767,10503,기타,Before
768,10504,중국,Before
769,10505,기타,Before
770,10617,싱가포르,Before
771,10626,대만,Before
772,10635,미국,Before
773,10636,태국,Before
774,10637,미국,Before
775,10640,대만,Before
776,10642,일본,Before
777,10647,중국,Before
778,10659,기타,Before
779,10661,태국,Before
780,10670,일본,Before
781,10677,일본,Before
782,10678,중국,Before
783,10683,일본,Before
784,10705,태국,Before
785,10755,일본,Before
786,10757,태국,Before
787,10776,일본,Before
788,10791,기타,Before
789,10795,기타,Before
790,10799,중국,Before
791,10807,홍콩,Before
